countrycode	countrycode2	countryname_left	countryname_right	region_left	region_right
(missing)	(missing)	Channel Islands	(missing)	154	(missing)
(missing)	(missing)	Sark	(missing)	154	(missing)
_EA	EA	(missing)	Ceuta & Melilla	(missing)	015
_IC	IC	(missing)	Canary Islands	(missing)	015
TWN	TW	(missing)	Taiwan	(missing)	030
XKK	XK	(missing)	Kosovo	(missing)	039
ZZZ	ZZ	(missing)	Unknown Region	(missing)	NaN
ASC	AC	(missing)	Ascension Island	(missing)	QO
ATA	AQ	(missing)	Antarctica	(missing)	QO
BVT	BV	(missing)	Bouvet Island	(missing)	QO
CCK	CC	(missing)	Cocos (Keeling) Islands	(missing)	QO
CPT	CP	(missing)	Clipperton Island	(missing)	QO
CXR	CX	(missing)	Christmas Island	(missing)	QO
DGA	DG	(missing)	Diego Garcia	(missing)	QO
SGS	GS	(missing)	South Georgia & South Sandwich Islands	(missing)	QO
HMD	HM	(missing)	Heard & McDonald Islands	(missing)	QO
IOT	IO	(missing)	British Indian Ocean Territory	(missing)	QO
TAA	TA	(missing)	Tristan da Cunha	(missing)	QO
ATF	TF	(missing)	French Southern Territories	(missing)	QO
UMI	UM	(missing)	U.S. Outlying Islands	(missing)	QO
